0.000000000000000000e+00 1.421078277448583494e-22
1.000000000000000000e+00 6.450385411977511553e-23
2.000000000000000000e+00 1.099999063014287654e-02
3.000000000000000000e+00 8.717845019448454023e-04
4.000000000000000000e+00 2.110545974292986696e-03
5.000000000000000000e+00 6.227103741704029249e-03
6.000000000000000000e+00 1.866376717575651779e-03
7.000000000000000000e+00 2.359628695589571085e-03
8.000000000000000000e+00 1.341761812810354521e-03
9.000000000000000000e+00 1.391775995892005624e-03
1.000000000000000000e+01 1.294791185158758115e-03
1.100000000000000000e+01 1.193749656270851923e-03
1.200000000000000000e+01 1.052445617006357841e-03
1.300000000000000000e+01 1.132910609401649362e-03
1.400000000000000000e+01 7.906068486334162648e-04
1.500000000000000000e+01 9.223019996892583942e-04
1.600000000000000000e+01 9.852755165076819768e-04
1.700000000000000000e+01 6.488217213896475084e-04
1.800000000000000000e+01 5.503153848467898582e-04
1.900000000000000000e+01 5.838708738739139918e-04
2.000000000000000000e+01 5.619884299520170505e-04
2.100000000000000000e+01 4.624951147224465450e-04
2.200000000000000000e+01 4.992372759911214812e-04
2.300000000000000000e+01 4.741518815713954946e-04
2.400000000000000000e+01 4.102081953836845055e-04
2.500000000000000000e+01 4.140982792655387591e-04
2.600000000000000000e+01 4.095489681511635437e-04
2.700000000000000000e+01 3.503958044714085241e-04
2.800000000000000000e+01 2.296663524906520433e-04
2.900000000000000000e+01 2.070946249454154648e-04
3.000000000000000000e+01 2.128947928846704478e-04
3.100000000000000000e+01 1.896621868029372963e-04
3.200000000000000000e+01 1.426396305116404170e-04
3.300000000000000000e+01 1.379909294132159836e-04
3.400000000000000000e+01 1.172809352812205421e-04
3.500000000000000000e+01 1.110275500855371585e-04
3.600000000000000000e+01 8.848611664612486723e-05
3.700000000000000000e+01 6.649775511065408277e-05
3.800000000000000000e+01 6.579763628885764240e-05
3.900000000000000000e+01 5.626898493768137891e-05
4.000000000000000000e+01 5.208685619923866019e-05
4.100000000000000000e+01 4.115744485169223871e-05
4.200000000000000000e+01 3.937912639126661056e-05
4.300000000000000000e+01 3.596968936459543756e-05
4.400000000000000000e+01 2.858549220177538172e-05
4.500000000000000000e+01 2.293196727527571258e-05
4.600000000000000000e+01 1.882524098228527434e-05
4.700000000000000000e+01 1.658420923685035884e-05
4.800000000000000000e+01 1.267568752682812071e-05
4.900000000000000000e+01 9.529565776511674541e-06
5.000000000000000000e+01 5.990616923109538678e-06
5.100000000000000000e+01 4.955065937998751581e-06
5.200000000000000000e+01 3.305244608686469549e-06
5.300000000000000000e+01 2.458645634972336014e-06
5.400000000000000000e+01 1.833548490003145065e-06
5.500000000000000000e+01 1.790579885696714077e-06
5.600000000000000000e+01 1.010932523983595047e-06
5.700000000000000000e+01 1.055108940367827335e-06
5.800000000000000000e+01 5.093937105281268379e-07
5.900000000000000000e+01 3.978005818662858657e-07
6.000000000000000000e+01 2.091959775951060906e-07
6.100000000000000000e+01 1.917920745333603463e-07
6.200000000000000000e+01 1.313449380198334114e-07
6.300000000000000000e+01 6.315477521464277092e-08
6.400000000000000000e+01 4.995911914633939324e-08
6.500000000000000000e+01 1.243214611263221627e-08
6.600000000000000000e+01 1.004258656698206171e-08
6.700000000000000000e+01 6.985048131385918917e-09
6.800000000000000000e+01 8.682160586061849014e-09
6.900000000000000000e+01 3.667326344818052674e-09
7.000000000000000000e+01 3.135458856224800763e-09
7.100000000000000000e+01 3.288300648075828055e-11
7.200000000000000000e+01 7.775171753477681744e-24
7.300000000000000000e+01 1.694703109186215848e-25
